country,year,type,value
Denmark,2018,DEATH,1358
Denmark,2019,PHARMA,51.2
Denmark,2019,DEATH,1323
Denmark,2020,PHARMA,51.8
Denmark,2020,DEATH,1253
Estonia,2010,PHARMA,64.4
Estonia,2010,DEATH,152
Estonia,2011,PHARMA,62.6
Estonia,2011,DEATH,164
Estonia,2012,PHARMA,61.6
Estonia,2012,DEATH,132
Estonia,2013,PHARMA,59.9
Estonia,2013,DEATH,146
Estonia,2014,PHARMA,60
Estonia,2014,DEATH,150
Estonia,2015,PHARMA,66.2
Estonia,2015,DEATH,137
Estonia,2016,PHARMA,63.9
Estonia,2016,DEATH,183
Estonia,2017,PHARMA,67.3
Estonia,2017,DEATH,200
Estonia,2018,PHARMA,70.5
Estonia,2018,DEATH,230
Estonia,2019,PHARMA,73.1
Estonia,2019,DEATH,245
Estonia,2020,PHARMA,74.2
Estonia,2020,DEATH,334
Finland,2010,PHARMA,53
Finland,2010,DEATH,456
Finland,2011,PHARMA,54.7
Finland,2011,DEATH,478
Finland,2012,PHARMA,55.6
Finland,2012,DEATH,491
Finland,2013,PHARMA,57
Finland,2013,DEATH,488
Finland,2014,PHARMA,58.8
Finland,2014,DEATH,498
Finland,2015,PHARMA,0
Finland,2015,DEATH,0
Finland,2016,PHARMA,62
Finland,2016,DEATH,542
Finland,2017,PHARMA,67
Finland,2017,DEATH,566
Finland,2018,PHARMA,83.3
Finland,2018,DEATH,541
Finland,2019,PHARMA,84.2
Finland,2019,DEATH,595
Finland,2020,PHARMA,84.8
Finland,2020,DEATH,667
France,2010,PHARMA,85.9
France,2010,DEATH,10725
France,2011,PHARMA,88.1
France,2011,DEATH,10908
France,2012,PHARMA,89.8
France,2012,DEATH,11223
France,2013,PHARMA,92.3
France,2013,DEATH,11170
France,2014,PHARMA,91.7
France,2014,DEATH,10823
France,2015,PHARMA,95.8
France,2015,DEATH,11671
France,2016,PHARMA,99.9
France,2016,DEATH,11285
France,2017,PHARMA,101.8
France,2017,DEATH,11359
France,2018,PHARMA,0
France,2018,DEATH,0
France,2019,PHARMA,0
France,2019,DEATH,0
France,2020,PHARMA,0
France,2020,DEATH,0
Germany,2010,PHARMA,105.6
Germany,2010,DEATH,23131
Germany,2011,PHARMA,72.9
Germany,2011,DEATH,23552
Germany,2012,PHARMA,74.5
Germany,2012,DEATH,24055
Germany,2013,PHARMA,80.2
Germany,2013,DEATH,24257
Germany,2014,PHARMA,81.6
Germany,2014,DEATH,22643
Germany,2015,PHARMA,81.3
Germany,2015,DEATH,24400
Germany,2016,PHARMA,82.4
Germany,2016,DEATH,23059
Germany,2017,PHARMA,84.5
Germany,2017,DEATH,24854
Germany,2018,PHARMA,84
Germany,2018,DEATH,24856
Germany,2019,PHARMA,84.8
Germany,2019,DEATH,23895
Germany,2020,PHARMA,86.9
Germany,2020,DEATH,25807
Greece,2010,PHARMA,85.6
Greece,2010,DEATH,1075
Greece,2011,PHARMA,87.4
Greece,2011,DEATH,1152
Greece,2012,PHARMA,81.4
Greece,2012,DEATH,1165
Greece,2013,PHARMA,82.6
Greece,2013,DEATH,1400
Greece,2014,PHARMA,83.2
Greece,2014,DEATH,1667
Greece,2015,PHARMA,83.2
Greece,2015,DEATH,1780
Greece,2016,PHARMA,83.6
Greece,2016,DEATH,1753
Greece,2017,PHARMA,82.6
Greece,2017,DEATH,2122
Greece,2018,PHARMA,83.8
Greece,2018,DEATH,2220
Greece,2019,PHARMA,83.5
Greece,2019,DEATH,2385
Greece,2020,PHARMA,85.9
Greece,2020,DEATH,2401
Hungary,2010,PHARMA,88.3
Hungary,2010,DEATH,2559
Hungary,2011,PHARMA,91
Hungary,2011,DEATH,2782
Hungary,2012,PHARMA,93.6
Hungary,2012,DEATH,2843
Hungary,2013,PHARMA,85
Hungary,2013,DEATH,2584
Hungary,2014,PHARMA,83.3
Hungary,2014,DEATH,2583
Hungary,2015,PHARMA,86.2
Hungary,2015,DEATH,2771
Hungary,2016,PHARMA,80.7
Hungary,2016,DEATH,2786
Hungary,2017,PHARMA,81.9
Hungary,2017,DEATH,3097
Hungary,2018,PHARMA,83.7
Hungary,2018,DEATH,3098
Hungary,2019,PHARMA,88.1
Hungary,2019,DEATH,3072
Hungary,2020,PHARMA,0
Hungary,2020,DEATH,0
Iceland,2010,PHARMA,100.9
Iceland,2010,DEATH,24
Iceland,2011,PHARMA,98.4
Iceland,2011,DEATH,19
Iceland,2012,PHARMA,70.7
Iceland,2012,DEATH,23
Iceland,2013,PHARMA,74.5
Iceland,2013,DEATH,33
Iceland,2014,PHARMA,75.3
Iceland,2014,DEATH,27
Iceland,2015,PHARMA,77.5
Iceland,2015,DEATH,23
Iceland,2016,PHARMA,76.2
Iceland,2016,DEATH,32
Iceland,2017,PHARMA,69.9
Iceland,2017,DEATH,37
Iceland,2018,PHARMA,72.4
Iceland,2018,DEATH,37
Iceland,2019,PHARMA,74.2
Iceland,2019,DEATH,30
Iceland,2020,PHARMA,75.4
Iceland,2020,DEATH,33
Ireland,2010,PHARMA,79.2
Ireland,2010,DEATH,487
Ireland,2011,PHARMA,76.4
Ireland,2011,DEATH,466
Ireland,2012,PHARMA,75.3
Ireland,2012,DEATH,536
Ireland,2013,PHARMA,31.7
Ireland,2013,DEATH,573
Ireland,2014,PHARMA,38.1
Ireland,2014,DEATH,482
Ireland,2015,PHARMA,38.9
Ireland,2015,DEATH,518
Ireland,2016,PHARMA,0
Ireland,2016,DEATH,0
Ireland,2017,PHARMA,0
Ireland,2017,DEATH,0
Ireland,2018,PHARMA,41.9
Ireland,2018,DEATH,534
Ireland,2019,PHARMA,0
Ireland,2019,DEATH,0
Ireland,2020,PHARMA,0
Ireland,2020,DEATH,0
Israel,2010,PHARMA,78.6
Israel,2010,DEATH,2280
Israel,2011,PHARMA,80.7
Israel,2011,DEATH,2190
Israel,2012,PHARMA,82.6
Israel,2012,DEATH,2287
Israel,2013,PHARMA,83.3
Israel,2013,DEATH,2314
Israel,2014,PHARMA,85.1
Israel,2014,DEATH,2372
